year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2022,USA,snorkeling,F,60,yes,2022-12-08 00:00:00,08-Dec-2022,12,Winter
2022,USA,surfing,M,,no,2022-12-07 00:00:00,07-Dec-2022,12,Winter
2022,USA,swimming,F,10,no,2022-11-27 00:00:00,27-Nov-2022,11,Autumn
2022,USA,swimming,F,50,no,2022-11-04 00:00:00,04-Nov-2022,11,Autumn
2022,USA,fishing,M,29,no,2022-11-03 00:00:00,03-Nov-2022,11,Autumn
2022,USA,surfing,M,,no,2022-10-31 00:00:00,31-Oct-2022,10,Autumn
2022,USA,fishing,M,40,no,2022-10-28 00:00:00,28-Oct-2022,10,Autumn
2022,BAHAMAS,diving,M,,no,2022-10-28 00:00:00,28-Oct-2022,10,Autumn
2022,USA,fishing,M,,no,2022-10-27 00:00:00,27-Oct-2022,10,Autumn
2022,USA,snorkeling,M,51,no,2022-10-25 00:00:00,25 Oct-2022,10,Autumn
2022,AUSTRALIA,surf skiing,M,19,no,2022-10-23 00:00:00,23-Oct-2022,10,Autumn
2022,USA,fishing,M,15,no,2022-10-10 00:00:00,10-Oct-2022,10,Autumn
2022,USA,shipwreck,M,40,no,2022-10-08 00:00:00,08-Oct-2022,10,Autumn
2022,AUSTRALIA,fishing,M,38,no,2022-10-07 00:00:00,07-Oct-2022,10,Autumn
2022,AUSTRALIA,surfing,M,17,no,2022-10-06 00:00:00,06-Oct-2022,10,Autumn
2022,USA,surfing,M,31,no,2022-10-02 00:00:00,02-Oct-2022,10,Autumn
2022,SOUTH AFRICA,swimming,F,39,yes,2022-09-25 00:00:00,25-Sep-2022,9,Autumn
2022,USA,fishing,M,26,no,2022-09-22 00:00:00,22-Sep-2022,9,Autumn
2022,BAHAMAS,snorkeling,F,58,yes,2022-09-06 00:00:00,06-Sep-2022,9,Autumn
2022,USA,swimming,F,51,no,2022-09-03 00:00:00,03-Sep-2022,9,Autumn
2022,AUSTRALIA,surfing,M,14,no,2022-08-31 00:00:00,31-Aug-2022,8,Summer
2022,AUSTRALIA,kayaking,M,,no,2022-08-17 00:00:00,17-Aug-2022,8,Summer
2022,USA,swimming,F,,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
2022,USA,standing,F,,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
2022,AUSTRALIA,fishing,M,17,no,2022-08-15 00:00:00,15-Aug-2022,8,Summer
2022,USA,snorkeling,M,10,no,2022-08-13 00:00:00,13-Aug-2022,8,Summer
2022,USA,paddleboarding,M,,no,2022-08-10 00:00:00,10-Aug-2022,8,Summer
2022,ENGLAND,snorkeling,F,,no,2022-07-28 00:00:00,28-Jul-2022,7,Summer
2022,USA,lobstering,M,13,no,2022-07-27 00:00:00,27-Jul-2022,7,Summer
2022,USA,wading,M,33,no,2022-07-25 00:00:00,25-Jul-2022,7,Summer
2022,USA,surfing,M,16,no,2022-07-20 00:00:00,20-Jul-2022,7,Summer
2022,USA,,,,no,2022-07-19 00:00:00,19-Jul-2022,7,Summer
2022,USA,surfing,F,,no,2022-07-19 00:00:00,19-Jul-2022,7,Summer
2022,USA,fishing,M,,no,2022-07-17 00:00:00,17-Jul-2022,7,Summer
2022,USA,,F,40,no,2022-07-16 00:00:00,16-Jul-2022,7,Summer
2022,USA,,M,49,no,2022-07-13 00:00:00,13-Jul-2022,7,Summer
2022,USA,surfing,M,41,no,2022-07-13 00:00:00,13-Jul-2022,7,Summer
2022,USA,surfing,M,30s,no,2022-07-10 00:00:00,10-Jul-2022,7,Summer
2022,USA,lifeguard training exercise,M,17,no,2022-07-07 00:00:00,07-Jul-2022,7,Summer
2022,JAPAN,snorkeling,M,60,yes,2022-07-04 00:00:00,04-Jul-2022,7,Summer
2022,USA,surfing,M,28,no,2022-07-03 00:00:00,03-Jul-2022,7,Summer
2022,USA,lifeguard exercises,M,,no,2022-07-03 00:00:00,03-Jul-2022,7,Summer
2022,INDONESIA,surfing,F,,no,2022-07-01 00:00:00,01-Jul-2022,7,Summer
2022,EGYPT,snorkeling,F,40s,yes,2022-07-01 00:00:00,01-Jul-2022,7,Summer
2022,EGYPT,swimming,F,68,yes,2022-07-01 00:00:00,01-Jul-2022,7,Summer
2022,USA,swimming,M,,no,2022-06-30 00:00:00,30-Jun-2022,6,Summer
2022,USA,scalloping,F,17,no,2022-06-30 00:00:00,30-Jun-2022,6,Summer
2022,USA,swimming,F,35,no,2022-06-29 00:00:00,29-Jun-2022,6,Summer
2022,USA,jumped into water,M,,no,2022-06-29 00:00:00,29-Jun-2022,6,Summer
2022,SOUTH AFRICA,swimming,M,,yes,2022-06-28 00:00:00,28-Jun-2022,6,Summer
2022,JAMAICA,fishing,M,,no,2022-06-24 00:00:00,24-Jun-2022,6,Summer
2022,USA,,F,,no,2022-06-23 00:00:00,23-Jun-2022,6,Summer
2022,USA,swimming,M,62,no,2022-06-22 00:00:00,22-Jun-2022,6,Summer
2022,USA,,M,teen,no,2022-06-21 00:00:00,21-Jun-2022,6,Summer
2022,AUSTRALIA,swimming,F,,no,2022-06-01 00:00:00,01-Jun-2022,6,Summer
2022,AUSTRALIA,surfing,,,no,2022-05-27 00:00:00,27-May-2022,5,Spring
2022,AUSTRALIA,diving,M,20,no,2022-05-20 00:00:00,20-May-2022,5,Spring
2022,BELIZE,fishing,M,,no,2022-05-19 00:00:00,19-May-2022,5,Spring
2022,MALDIVES,fishing,M,62,no,2022-05-10 00:00:00,10-May-2022,5,Spring
2022,FRENCH POLYNESIA,,,,no,2022-05-07 00:00:00,07-May-2022,5,Spring
2022,USA,fishing,M,,no,2022-05-03 00:00:00,03-May-2022,5,Spring
2022,THAILAND,playing in the water,M,8,no,2022-05-01 00:00:00,01-May-2022,5,Spring
2022,FRENCH POLYNESIA,,M,22,no,2022-04-30 00:00:00,30-Apr-2022,4,Spring
2022,AUSTRALIA,paddleboarding,M,32,no,2022-04-27 00:00:00,Reported 27-Apr-2022,4,Spring
2022,USA,, M,56,no,2022-04-17 00:00:00,17-Apr-2022,4,Spring
2022,USA,swimming,M,17,no,2022-04-12 00:00:00,12-Apr-2022,4,Spring
2022,USA,standing,M,Teen,no,2022-04-11 00:00:00,11-Apr-2022,4,Spring
2022,USA,feeding sharks & stingrays,F,12,no,2022-04-09 00:00:00,09-Apr-2022,4,Spring
2022,USA,kayaking,M,,no,2022-04-07 00:00:00,07-Apr-2022,4,Spring
2022,SOUTH AFRICA,,M,,unknown,2022-04-01 00:00:00,01-Apr-2022,4,Spring
2022,USA,fishing,M,50s,no,2022-03-31 00:00:00,31-Mar-2022,3,Spring
2022,COLUMBIA,swimming,M,56,yes,2022-03-18 00:00:00,18-Mar-2022,3,Spring
2022,NEW ZEALAND,surfing,M,,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
2022,AUSTRALIA,surfing,M,32,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
2022,AUSTRALIA,swimming,M,,no,2022-03-15 00:00:00,15-Mar-2022,3,Spring
2022,USA,surfing,M,20,no,2022-03-13 00:00:00,13-Mar-2022,3,Spring
2022,USA,fishing,M,21,no,2022-03-09 00:00:00,09-Mar-2022,3,Spring
2022,AUSTRALIA,surfing,M,,no,2022-03-08 00:00:00,08-Mar-2022,3,Spring
2022,USA,boogie boarding,M,42,yes,2022-02-26 00:00:00,26-Feb-2022,2,Winter
2022,BAHAMAS,diving,M,51,no,2022-02-21 00:00:00,21-Feb-2022,2,Winter
2022,AUSTRALIA,fihing,M,,no,2022-02-17 00:00:00,17-Feb-2022,2,Winter
2022,AUSTRALIA,swimming,M,36,yes,2022-02-16 00:00:00,16-Feb-2022,2,Winter
2022,MEXICO,diving,M,56,yes,2022-02-12 00:00:00,12-Feb-2022,2,Winter
2022,USA,surfing,M,18,no,2022-02-11 00:00:00,11-Feb-2022,2,Winter
2022,BAHAMAS,,F,37,no,2022-02-10 00:00:00,Reported 10-Feb-2022,2,Winter
2022,COSTA RICA,diving,F,50,unknown,2022-02-08 00:00:00,08-Feb-2022,2,Winter
2022,AUSTRALIA,floating in inflatable pool ring,F,20,no,2022-02-05 00:00:00,05-Feb-2022,2,Winter
2022,AUSTRALIA,swimming,M,M,no,2022-01-24 00:00:00,24-Jan-2022,1,Winter
2022,AUSTRALIA,snorkeling,M,,no,2022-01-22 00:00:00,22-Jan-2022,1,Winter
2022,SOUTH AFRICA,fishing,M,,no,2022-01-09 00:00:00,09-Jan-2022,1,Winter
2022,NEW ZEALAND,swimming,F,13,no,2022-01-09 00:00:00,09-Jan-2022,1,Winter
2022,USA,surfing,F,42,no,2022-01-06 00:00:00,06-Jan-2022,1,Winter
2022,AUSTRALIA,,F,42,no,2022-01-04 00:00:00,04-Jan-2022,1,Winter
2022,AUSTRALIA,surfing,M,40s,no,2022-01-01 00:00:00,01-Jan-2022,1,Winter
2021,New Zealand,swimming,F,9,no,2021-12-25 00:00:00,25-Dec-2021,12,Winter
2021,USA,surfing,F,42,no,2021-12-22 00:00:00,22-Dec-2021,12,Winter
2021,AUSTRALIA,fishing,M,24,no,2021-12-11 00:00:00,11-Dec-2021`,12,Winter
2021,MEXICO,diving,M,14,no,2021-12-06 00:00:00,Reported 06-Dec-2021,12,Winter
2021,AUSTRALIA,swimming,F,15,no,2021-12-06 00:00:00,06-Dec-2021,12,Winter
2021,AUSTRALIA,swimming,M,15,no,2021-12-06 00:00:00,06-Dec-2021,12,Winter
2021,USA,surfing,M,,no,2021-12-04 00:00:00,04-Dec-2021,12,Winter
2021,USA,fishing,F,27,no,2021-11-07 00:00:00,07-Nov-2021,11,Autumn
2021,AUSTRALIA,swimming,M,57,yes,2021-11-06 00:00:00,06-Nov-2021,11,Autumn
2021,BRAZIL,swimming,M,,no,2021-11-03 00:00:00,03-Nov-2021,11,Autumn
2021,NEW ZEALAND,surfing,M,26,no,2021-11-02 00:00:00,02-Nov-2021,11,Autumn
2021,AUSTRALIA,fishing,M,26,unknown,2021-10-16 00:00:00,16-Oct-2021,10,Autumn
2021,AUSTRALIA,swimming,M,34,no,2021-10-15 00:00:00,15-Oct-2021,10,Autumn
2021,USA,surfing,M,25,no,2021-10-04 00:00:00,04-Oct-2021,10,Autumn
2021,USA,swimming,M,,no,2021-10-03 00:00:00,03-Oct-2021,10,Autumn
2021,USA,surfing,M,38,no,2021-10-03 00:00:00,03-Oct-2021,10,Autumn
